Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
24.11.2022,18.6103,18.6176,18.6661,18.4397,,0.03
23.11.2022,18.6046,18.6058,18.6457,18.5819,,-0.07
23.11.2022,18.6174,18.6208,18.6418,18.4291,,0.07
22.11.2022,18.6037,18.6081,18.6313,18.5786,,-0.05
22.11.2022,18.6135,18.6151,18.6556,18.4293,,0.17
21.11.2022,18.5819,18.6073,18.6469,18.5709,,-0.21
21.11.2022,18.6212,18.6267,18.6544,18.4054,,-0.01
18.11.2022,18.6236,18.5861,18.6628,18.4567,,0.19
17.11.2022,18.5889,18.5445,18.6321,18.5337,,0.01
17.11.2022,18.5878,18.6199,18.65,18.45,,0.15
16.11.2022,18.5599,18.592,18.628,18.5429,,-0.27
16.11.2022,18.6094,18.6187,18.6555,18.4324,,0.03
15.11.2022,18.6036,18.588,18.6612,18.5565,,-0.04
15.11.2022,18.6106,18.5924,18.6411,18.4167,,0.05
14.11.2022,18.6017,18.5846,18.6494,18.5427,,-0.09
14.11.2022,18.618,18.5915,18.6549,18.3854,,0.21
11.11.2022,18.5784,18.4911,18.5929,18.2909,,0.04
10.11.2022,18.5717,18.4593,18.5848,18.4576,,0.45
10.11.2022,18.4892,18.5833,18.6364,18.3884,,0.16
09.11.2022,18.4593,18.5678,18.6728,18.4592,,-0.71
09.11.2022,18.5907,18.5335,18.6203,18.367,,0.12
08.11.2022,18.5686,18.5191,18.6462,18.4966,,0.18
08.11.2022,18.5361,18.4509,18.6177,18.3277,,0.04
07.11.2022,18.5284,18.4374,18.61,18.4071,,0.45
07.11.2022,18.4452,18.5677,18.6282,18.3935,,-0.66
04.11.2022,18.5684,18.617,18.6711,18.4128,,0.01
03.11.2022,18.5657,18.5929,18.6794,18.491,,-0.28
03.11.2022,18.6176,18.6234,18.6442,18.4322,,0.08
02.11.2022,18.6021,18.5842,18.6576,18.5842,,-0.14
02.11.2022,18.6289,18.5722,18.651,18.431,,0.15
01.11.2022,18.6019,18.5549,18.664,18.544,,0.10
01.11.2022,18.5833,18.6094,18.6744,18.4646,,0.16
31.10.2022,18.5535,18.6006,18.6773,18.4801,,-0.33
31.10.2022,18.6151,18.6121,18.6726,18.4531,,0.17
28.10.2022,18.5835,18.5999,18.6416,18.4163,,0.01
27.10.2022,18.5813,18.5864,18.6617,18.5542,,-0.10
27.10.2022,18.5996,18.6021,18.6502,18.3292,,-0.11
26.10.2022,18.6209,18.6037,18.662,18.5369,,0.09
26.10.2022,18.6042,18.6161,18.6418,18.4301,,0.14
25.10.2022,18.5784,18.59,18.6375,18.5196,,-0.13
25.10.2022,18.6028,18.6181,18.6394,18.4322,,0.08
24.10.2022,18.588,18.5486,18.6527,18.5198,,-0.10
24.10.2022,18.6067,18.5941,18.6338,18.4071,,0.05
21.10.2022,18.5965,18.5938,18.6308,18.4021,,0.04
20.10.2022,18.5884,18.5787,18.6262,18.5341,,-0.05
